id,count_total,area_frac,bottom_y_norm,max_conf,closest_area_frac,closest_bottom_y_norm,danger_zone_hit,lateral_spread,count_far,count_mid,count_near,danger_label
cyclar_data_23_frame000624_Left,1,0.0058346907568339,0.675201416015625,0.439905434846878,0.0058346907568339,0.675201416015625,0,0.0,0,1,0,0
cyclar_data_23_frame000624_Right,2,0.0065448420283235,0.5958643155824009,0.5694655776023865,0.0065448420283235,0.5958643155824009,0,0.131978870909891,0,2,0,0
cyclar_data_23_frame000625_Left,1,0.0060254493429597,0.6715181452747235,0.3368625938892364,0.0060254493429597,0.6715181452747235,0,0.0,0,1,0,0
cyclar_data_23_frame000625_Right,4,0.0070098123411828,0.602433506843975,0.72673100233078,0.0069919344382551,0.603589470003858,0,0.1303940290286217,0,4,0,0
cyclar_data_23_frame000626_Left,2,0.0081740059839596,0.6606319725758745,0.4607677161693573,0.0054030398428211,0.6612720254026814,0,0.0127123314657329,0,2,0,0
cyclar_data_23_frame000626_Right,5,0.0067761587005173,0.601015883708687,0.6985259652137756,0.0006920348918955,0.6049064353660301,0,0.3321734534369575,0,5,0,0
cyclar_data_23_frame000627_Left,1,0.0057534388124242,0.6486329757627637,0.3884036242961883,0.0057534388124242,0.6486329757627637,0,0.0,0,1,0,0
cyclar_data_23_frame000627_Right,3,0.002217993596877,0.588057215812275,0.693327784538269,0.0009288227089011,0.5988522125369727,0,0.2566533029815296,0,3,0,0
cyclar_data_23_frame000628_Left,1,0.005559334156785,0.6360424026049705,0.481766015291214,0.005559334156785,0.6360424026049705,0,0.0,0,1,0,0
cyclar_data_23_frame000628_Right,4,0.0064699115780831,0.5867205333317258,0.6698845624923706,0.0042168986742758,0.5879881431045846,0,0.1419925689697265,0,4,0,0
cyclar_data_23_frame000629_Left,1,0.0042160780497653,0.6266033031322338,0.3386460542678833,0.0042160780497653,0.6266033031322338,0,0.0,0,1,0,0
cyclar_data_23_frame000629_Right,5,0.0062490643562238,0.5852835070449138,0.6981538534164429,0.0062490643562238,0.5852835070449138,0,0.2028195416485821,0,5,0,0
cyclar_data_23_frame000630_Left,1,0.0041711941474821,0.6215992994269226,0.538185179233551,0.0041711941474821,0.6215992994269226,0,0.0,0,1,0,0
cyclar_data_23_frame000630_Right,4,0.0020796526515716,0.5763346354166666,0.6799138188362122,0.0017065401101642,0.5766287595646862,0,0.1260976673644265,0,4,0,0
cyclar_data_23_frame000631_Left,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0
cyclar_data_23_frame000631_Right,5,0.0063899353740003,0.5880702140399948,0.6783117651939392,0.0063899353740003,0.5880702140399948,0,0.2004584324212721,0,5,0,0
cyclar_data_23_frame000632_Left,1,0.0039088917422819,0.6106733785244663,0.5379965305328369,0.0039088917422819,0.6106733785244663,0,0.0,0,1,0,0
cyclar_data_23_frame000632_Right,6,0.0067686950155285,0.588213006164802,0.7254077792167664,0.0067686950155285,0.588213006164802,0,0.3287363170105735,0,6,0,0
cyclar_data_23_frame000633_Left,1,0.0039134587245098,0.608429959772055,0.4732601940631866,0.0039134587245098,0.608429959772055,0,0.0,0,1,0,0
cyclar_data_23_frame000633_Right,4,0.0066988486586593,0.5858768416039738,0.6840383410453796,0.0066988486586593,0.5858768416039738,0,0.1905202041437596,0,4,0,0
cyclar_data_23_frame000634_Left,1,0.0037469683562764,0.6046712113996592,0.4403301477432251,0.0037469683562764,0.6046712113996592,0,0.0,0,1,0,0
cyclar_data_23_frame000634_Right,4,0.0057440895924049,0.5831291292920525,0.698152482509613,0.0057440895924049,0.5831291292920525,0,0.186655044555664,0,4,0,0
cyclar_data_23_frame000635_Left,1,0.0078138148959691,0.5986667209201388,0.3410532772541046,0.0078138148959691,0.5986667209201388,0,0.0,0,1,0,0
cyclar_data_23_frame000635_Right,5,0.0053820893431964,0.5821232422879694,0.774653434753418,0.0053820893431964,0.5821232422879694,0,0.1904834464744285,0,5,0,0
cyclar_data_23_frame000636_Left,3,0.0078045956440651,0.5937128263245884,0.4100919365882873,0.001694244236455,0.6248614778243956,0,0.1308310853581829,0,3,0,0
cyclar_data_23_frame000636_Right,6,0.0050023068707538,0.5800886742862654,0.6906430721282959,0.0050023068707538,0.5800886742862654,0,0.2023476965633439,0,6,0,0
cyclar_data_23_frame000637_Left,2,0.0038690860792422,0.5920514393245242,0.4832393527030945,0.0023008685128235,0.6342249740788966,0,0.1187918501137899,0,2,0,0
cyclar_data_23_frame000637_Right,5,0.0055888008975865,0.5725152286482446,0.7516829967498779,0.0055888008975865,0.5725152286482446,0,0.1961057686511381,0,5,0,0
cyclar_data_23_frame000638_Left,4,0.0074996111881738,0.5930863996592078,0.5660229921340942,0.0027206787348376,0.6332823199990355,0,0.1320557578834762,0,4,0,0
cyclar_data_23_frame000638_Right,4,0.005427428523904,0.5635034380626286,0.7907045483589172,0.005427428523904,0.5635034380626286,0,0.1742067690248842,0,4,0,0
cyclar_data_23_frame000639_Left,3,0.0073864522642895,0.5961807313769933,0.4697777926921844,0.0032417462685138,0.64732285487799,0,0.1336369554247753,0,3,0,0
cyclar_data_23_frame000639_Right,6,0.0057384149969255,0.5579246238425926,0.6893536448478699,0.0054536773762814,0.5583504256888182,0,0.1944372153576509,0,6,0,0
cyclar_data_23_frame000640_Left,4,0.0075146316716281,0.5995867693865741,0.520260751247406,0.003605413082169,0.6611323729464056,0,0.131707299877257,0,4,0,0
cyclar_data_23_frame000640_Right,4,0.0054812549033037,0.5496259775671939,0.7172663807868958,0.0054812549033037,0.5496259775671939,0,0.1958532922061873,0,4,0,0
