id,count_total,largest_area_frac,largest_bottom_y_norm,largest_conf,closest_area_frac,closest_bottom_y_norm,closest_conf,sum_area_frac,mean_conf,danger_label
cyclar_data_13_frame000491_Left,8,0.0241997591018808,0.8187993053546168,0.8661189675331116,0.0241997591018808,0.8187993053546168,0.8661189675331116,0.0410146543925853,0.4993514344096184,0
cyclar_data_13_frame000491_Right,3,0.1801758364069087,0.9991056340221516,0.6635635495185852,0.1801758364069087,0.9991056340221516,0.6635635495185852,0.3787075768959051,0.5599010984102885,2
cyclar_data_13_frame000492_Left,7,0.0249133571160464,0.8192830654819316,0.8709913492202759,0.0249133571160464,0.8192830654819316,0.8709913492202759,0.0397282153346187,0.5510982998779842,0
cyclar_data_13_frame000492_Right,2,0.1848411470892016,0.9984325518823944,0.7053577303886414,0.1848411470892016,0.9984325518823944,0.7053577303886414,0.1938835662758006,0.4842608869075775,2
cyclar_data_13_frame000493_Left,9,0.0256150386613884,0.821560015894258,0.8701556921005249,0.0256150386613884,0.821560015894258,0.8701556921005249,0.0444848463086409,0.5002621975209978,0
cyclar_data_13_frame000493_Right,2,0.1865960605497138,0.9987728291578254,0.7741292119026184,0.1865960605497138,0.9987728291578254,0.7741292119026184,0.1927298931465986,0.6355802565813065,2
cyclar_data_13_frame000494_Left,6,0.0253953379795596,0.8161397549350566,0.8635810017585754,0.0253953379795596,0.8161397549350566,0.8635810017585754,0.0384211492466393,0.5818163553873698,0
cyclar_data_13_frame000494_Right,2,0.1883306062483128,0.9987999558939364,0.5710486769676208,0.1883306062483128,0.9987999558939364,0.5710486769676208,0.1936501050424494,0.5222862213850021,2
cyclar_data_13_frame000495_Left,10,0.0263384919765448,0.8134227485813722,0.8585342764854431,0.0263384919765448,0.8134227485813722,0.8585342764854431,0.0505359826406553,0.5205398827791214,0
cyclar_data_13_frame000495_Right,2,0.1775932086321812,0.999154298884388,0.6401525735855103,0.1775932086321812,0.999154298884388,0.6401525735855103,0.1819819871687472,0.6162484586238861,2
cyclar_data_13_frame000496_Left,8,0.0262189915900294,0.8070475260416666,0.8383252024650574,0.0262189915900294,0.8070475260416666,0.8383252024650574,0.0438093225807224,0.5146049000322819,0
cyclar_data_13_frame000496_Right,1,0.1992866638245291,0.9984893798828124,0.6581549048423767,0.1992866638245291,0.9984893798828124,0.6581549048423767,0.1992866638245291,0.6581549048423767,2
cyclar_data_13_frame000497_Left,7,0.0271917197486349,0.8067678443688915,0.8330785632133484,0.0271917197486349,0.8067678443688915,0.8330785632133484,0.0429763995225861,0.5164950362273625,0
cyclar_data_13_frame000497_Right,1,0.1994055369445247,0.998551356939622,0.7925333380699158,0.1994055369445247,0.998551356939622,0.7925333380699158,0.1994055369445247,0.7925333380699158,2
cyclar_data_13_frame000498_Left,8,0.0272815447441295,0.8041713384934414,0.8196786046028137,0.0272815447441295,0.8041713384934414,0.8196786046028137,0.0452402958363205,0.4951708652079105,0
cyclar_data_13_frame000498_Right,1,0.2041839456957125,0.9991230277858152,0.7105713486671448,0.2041839456957125,0.9991230277858152,0.7105713486671448,0.2041839456957125,0.7105713486671448,2
cyclar_data_13_frame000499_Left,7,0.0272338320392987,0.8019477624461484,0.8334301710128784,0.0272338320392987,0.8019477624461484,0.8334301710128784,0.0430475905915514,0.5115618620600019,0
cyclar_data_13_frame000499_Right,1,0.2074243592930692,0.9988937063962834,0.6375141143798828,0.2074243592930692,0.9988937063962834,0.6375141143798828,0.2074243592930692,0.6375141143798828,2
cyclar_data_13_frame000500_Left,7,0.0282233539217059,0.804578930262185,0.8302213549613953,0.0282233539217059,0.804578930262185,0.8302213549613953,0.041756091913421,0.5018133691379002,0
cyclar_data_13_frame000500_Right,1,0.2100640640096465,0.9987910392353072,0.6772891283035278,0.2100640640096465,0.9987910392353072,0.6772891283035278,0.2100640640096465,0.6772891283035278,2
cyclar_data_13_frame000501_Left,7,0.0282728770037986,0.7992410542052469,0.8467576503753662,0.0282728770037986,0.7992410542052469,0.8467576503753662,0.0477474706068698,0.533390930720738,0
cyclar_data_13_frame000501_Right,1,0.2185731027717256,0.9990153999485596,0.7061543464660645,0.2185731027717256,0.9990153999485596,0.7061543464660645,0.2185731027717256,0.7061543464660645,2
cyclar_data_13_frame000502_Left,8,0.0300799306158736,0.7999576521508488,0.8501328825950623,0.0300799306158736,0.7999576521508488,0.8501328825950623,0.0475014892215218,0.4946431145071983,0
cyclar_data_13_frame000502_Right,1,0.2166112294529225,0.9992558985580632,0.7168728709220886,0.2166112294529225,0.9992558985580632,0.7168728709220886,0.2166112294529225,0.7168728709220886,2
cyclar_data_13_frame000503_Left,7,0.0315020593721025,0.7980379332240226,0.8494138121604919,0.0315020593721025,0.7980379332240226,0.8494138121604919,0.0474320857886873,0.5103267729282379,0
cyclar_data_13_frame000503_Right,2,0.221916509692731,0.9990707837014532,0.3115263283252716,0.2188333446887168,0.9991554291650592,0.5195651650428772,0.4407498543814478,0.4155457466840744,2
cyclar_data_13_frame000504_Left,8,0.0320267898179074,0.7985646440168467,0.8506242632865906,0.0320267898179074,0.7985646440168467,0.8506242632865906,0.0510812471692263,0.5001472756266594,0
cyclar_data_13_frame000504_Right,1,0.2275705601728404,0.9990454151797196,0.5544009804725647,0.2275705601728404,0.9990454151797196,0.5544009804725647,0.2275705601728404,0.5544009804725647,2
cyclar_data_13_frame000505_Left,7,0.031290571732848,0.8032821843653549,0.8519096970558167,0.031290571732848,0.8032821843653549,0.8519096970558167,0.049240180335565,0.5280992814472744,0
cyclar_data_13_frame000505_Right,2,0.2237532461729473,0.9991394168555492,0.4922967851161957,0.1859227909535615,0.9991434356312692,0.319772332906723,0.4096760371265088,0.4060345590114593,2
cyclar_data_13_frame000506_Left,6,0.0298495213590582,0.8087165738329475,0.8286966681480408,0.0298495213590582,0.8087165738329475,0.8286966681480408,0.0442617449123771,0.5739375849564871,0
cyclar_data_13_frame000506_Right,1,0.2214617197482874,0.9989608953028548,0.3350037932395935,0.2214617197482874,0.9989608953028548,0.3350037932395935,0.2214617197482874,0.3350037932395935,2
cyclar_data_13_frame000507_Left,7,0.0316062388722016,0.8205486658669303,0.8414707183837891,0.0316062388722016,0.8205486658669303,0.8414707183837891,0.0498038920259134,0.5463793362889972,0
cyclar_data_13_frame000507_Right,2,0.2211374699389119,0.9991683645994084,0.565533459186554,0.2211374699389119,0.9991683645994084,0.565533459186554,0.3191079889426502,0.4209669381380081,2
cyclar_data_13_frame000508_Left,9,0.0323105849859879,0.8226737819090792,0.8391614556312561,0.0323105849859879,0.8226737819090792,0.8391614556312561,0.0536224052419362,0.4274362756146325,0
cyclar_data_13_frame000508_Right,4,0.216806511070341,0.9992403885955182,0.463769257068634,0.216806511070341,0.9992403885955182,0.463769257068634,0.5221124056133116,0.4442880600690841,2
cyclar_data_13_frame000509_Left,6,0.0329453133550694,0.821121466993795,0.863030731678009,0.0329453133550694,0.821121466993795,0.863030731678009,0.0460465647507724,0.5014392336209615,0
cyclar_data_13_frame000509_Right,3,0.1691004151698411,0.9993186919286908,0.4774888455867767,0.1691004151698411,0.9993186919286908,0.4774888455867767,0.3262159044026181,0.469520886739095,2
cyclar_data_13_frame000510_Left,7,0.0331508883531237,0.8171026284802597,0.8435607552528381,0.0331508883531237,0.8171026284802597,0.8435607552528381,0.0482199395245042,0.5212686147008624,0
cyclar_data_13_frame000510_Right,2,0.2222528981556845,0.9993685498649691,0.3311483263969421,0.2222528981556845,0.9993685498649691,0.3311483263969421,0.3250059491068156,0.2933979630470276,0
cyclar_data_13_frame000511_Left,10,0.0326286627747341,0.81056087792165,0.8308870792388916,0.0326286627747341,0.81056087792165,0.8308870792388916,0.0563099141598727,0.4944390088319778,0
cyclar_data_13_frame000511_Right,1,0.2204789932321312,0.9992239367324138,0.4753288924694061,0.2204789932321312,0.9992239367324138,0.4753288924694061,0.2204789932321312,0.4753288924694061,0
cyclar_data_13_frame000512_Left,10,0.0322481604504261,0.8106467164592979,0.8266396522521973,0.0322481604504261,0.8106467164592979,0.8266396522521973,0.0637199139871805,0.4306942194700241,0
cyclar_data_13_frame000512_Right,2,0.2158623324686381,0.9960244261188272,0.4218515753746032,0.0464006201586426,0.9995795355902778,0.4143925607204437,0.2622629526272808,0.4181220680475235,0
cyclar_data_13_frame000513_Left,8,0.0319732727612158,0.813809555744438,0.8355856537818909,0.0319732727612158,0.813809555744438,0.8355856537818909,0.060918007093483,0.4828897602856159,0
cyclar_data_13_frame000513_Right,1,0.0976296949111241,0.961461385091146,0.4094282984733581,0.0976296949111241,0.961461385091146,0.4094282984733581,0.0976296949111241,0.4094282984733581,0
cyclar_data_13_frame000514_Left,9,0.0334934243708877,0.8202840546031057,0.8826406598091125,0.0334934243708877,0.8202840546031057,0.8826406598091125,0.0620383216289202,0.4767601622475518,0
cyclar_data_13_frame000514_Right,3,0.1209328811750106,0.998014662000868,0.2669982016086578,0.1199903997845721,0.999240263008777,0.4730098843574524,0.3351801436526246,0.431108146905899,0
cyclar_data_13_frame000515_Left,10,0.0350822015954194,0.8263117158363876,0.8741886615753174,0.0350822015954194,0.8263117158363876,0.8741886615753174,0.0644980573000695,0.4625542789697647,0
cyclar_data_13_frame000515_Right,2,0.1216345121157454,0.9975448420018326,0.7961521744728088,0.1216345121157454,0.9975448420018326,0.7961521744728088,0.212608138993924,0.724229484796524,0
cyclar_data_13_frame000516_Left,7,0.0344817313737873,0.8280560528790509,0.8667004108428955,0.0344817313737873,0.8280560528790509,0.8667004108428955,0.0569414598291895,0.5218281362737928,0
cyclar_data_13_frame000516_Right,3,0.128838510332223,0.9986854207859118,0.4888671338558197,0.0852156234821196,0.9989564369735404,0.4066306352615356,0.2994837615274557,0.5525413850943247,0
cyclar_data_13_frame000517_Left,6,0.0349582405143926,0.8328194951814879,0.8936389684677124,0.0349582405143926,0.8328194951814879,0.8936389684677124,0.0563894497375456,0.6153793632984161,0
